Model run 2021090612Z
Started looking for data at 20:00Z
Loading data off - processing last saved data 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

Kaitaia; Tue 07 Sep 2021; Showers, clearing to fine in the evening. Northerlies, turning westerly in the afternoon.; Showers; Drizzle;Rain;Showers;Fine;
Christchurch; Fri 10 Sep 2021; A few showers, clearing to fine in the evening. Westerly breezes developing in the morning.; FewShowers; Showers;Showers;FewShowers;Fine;
Christchurch; Sat 11 Sep 2021; Fine, becoming partly cloudy in the afternoon. Southwesterlies, easing to light winds in the afternoon.; Fine; Fine;Fine;Fine;Fine;
Christchurch; Sun 12 Sep 2021; Fine. Northeasterlies.; Fine; Fine;Fine;Fine;Fine;
Christchurch; Mon 13 Sep 2021; A few showers, becoming rain for a time. Fresh westerlies, easing to southwesterly breezes.; Showers; Wind;Rain;Rain;Drizzle;
Christchurch; Tue 14 Sep 2021; Cloudy with patchy drizzle, clearing to fine with a few clouds. Fresh southwesterlies, easing to southerly breezes.; Cloudy; Cloudy;Wind;Fine;Cloudy;
Christchurch; Wed 15 Sep 2021; Fine, becoming partly cloudy for a time. Easterly breezes developing for a time.; Fine; Fine;Fine;PartCloudy;Fine;
Christchurch; Thu 16 Sep 2021; Mainly fine with isolated showers, clearing for a time, but becoming mostly cloudy. Southerlies developing for a time.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


Ashburton; Tue 07 Sep 2021; A few showers at first, clearing in the morning, but remaining partly cloudy. Fresh northeasterlies, easing to northerly breezes in the afternoon.; FewShowers; FewShowers;Fine;PartCloudy;PartCloudy;
Ashburton; Wed 08 Sep 2021; Cloudy with scattered rain, becoming mainly fine with isolated showers in the morning. Southwesterlies, easing to light winds in the afternoon.; Showers; Cloudy;Showers;Fine;Fine;
Ashburton; Thu 09 Sep 2021; Fine, becoming partly cloudy for a time in the afternoon and evening. Fresh northwesterlies, easing to northerly breezes in the evening.; PartCloudy; Fine;PartCloudy;PartCloudy;Fine;
Ashburton; Fri 10 Sep 2021; A few showers, clearing to fine in the evening. Fresh northwesterlies, easing to a light breeze in the morning.; Showers; Showers;Cloudy;FewShowers;Fine;
Ashburton; Sat 11 Sep 2021; Fine, becoming partly cloudy in the evening. Southeasterly breezes developing in the morning.; Fine; Fine;Fine;Fine;PartCloudy;
Ashburton; Sun 12 Sep 2021; Fine with a few clouds, then isolated showers developing later. Northerlies, rising to strong northwesterlies later.; FewShowers; Fine;PartCloudy;Fine;Wind;
Ashburton; Mon 13 Sep 2021; Drizzle, turning to rain with heavy falls for a time. Westerly breezes.; Showers; Drizzle;Rain;Rain;Fine;
Ashburton; Tue 14 Sep 2021; Drizzle, clearing for a time, but remaining mostly cloudy. Fresh southerlies, easing to light winds.; Cloudy; Drizzle;Cloudy;Fine;Cloudy;
Ashburton; Wed 15 Sep 2021; Fine. Easterly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;
Ashburton; Thu 16 Sep 2021; Fine, becoming mostly cloudy. Southerly breezes developing for a time.; Cloudy; Fine;Fine;Cloudy;Cloudy;


Timaru; Tue 07 Sep 2021; Mainly fine with isolated showers, clearing in the afternoon, but becoming mostly cloudy. Northerlies, easing to light winds in the evening.; PartCloudy; FewShowers;Fine;Cloudy;Cloudy;
Timaru; Wed 08 Sep 2021; Drizzle at first, clearing and becoming fine in the morning. Southwesterlies, turning northwesterly in the evening.; FewShowers; Drizzle;FewShowers;Fine;Fine;
Timaru; Thu 09 Sep 2021; Fine with high cloud, then isolated showers developing in the evening. Northwesterlies, becoming fresh in the morning.; FewShowers; Fine;PartCloudy;Wind;Wind;
Timaru; Fri 10 Sep 2021; A few showers, clearing to fine for a time in the afternoon and evening. Fresh northwesterlies, easing to westerly breezes in the morning.; FewShowers; WindRain;Cloudy;Fine;FewShowers;
Timaru; Sat 11 Sep 2021; Fine, becoming partly cloudy in the afternoon. Easterlies developing for a time in the afternoon and evening.; Fine; Fine;Fine;Fine;Cloudy;
Timaru; Sun 12 Sep 2021; Partly cloudy with isolated showers, clearing. Northerlies, rising to gale northwesterlies later.; FewShowers; Fine;FewShowers;PartCloudy;Wind;
Timaru; Mon 13 Sep 2021; Rain, easing to a few showers. Southerlies, turning northerly for a time.; Rain; Rain;Rain;FewShowers;Fine;
Timaru; Tue 14 Sep 2021; Partly cloudy, becoming fine for a time. Southerlies, easing to light winds later.; Cloudy; Fine;Cloudy;Fine;Cloudy;
Timaru; Wed 15 Sep 2021; Fine. Westerlies developing later.; Fine; Fine;Fine;Fine;Fine;
Timaru; Thu 16 Sep 2021; Mostly cloudy. Southeasterlies developing for a time.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


Oamaru; Tue 07 Sep 2021; Fine with a few clouds, then becoming cloudy with scattered rain developing in the afternoon. Northerlies, turning southwesterly in the afternoon.; Showers; PartCloudy;Fine;Showers;Drizzle;
Oamaru; Wed 08 Sep 2021; Cloudy with patchy drizzle at first, clearing to fine in the morning. Fresh southwesterlies, easing to northwesterlies in the evening.; Fine; Cloudy;Fine;Fine;Fine;
Oamaru; Thu 09 Sep 2021; Partly cloudy, becoming fine in the afternoon. Northerlies, becoming fresh in the afternoon.; Fine; PartCloudy;Cloudy;Fine;Wind;
Oamaru; Fri 10 Sep 2021; Drizzle, clearing and becoming fine in the evening. Northerly breezes developing for a time in the afternoon and evening.; FewShowers; Drizzle;FewShowers;Drizzle;FewShowers;
Oamaru; Sat 11 Sep 2021; Fine with a few clouds, then isolated showers developing in the evening. Southerlies, turning northerly in the evening.; FewShowers; Fine;Fine;Cloudy;Drizzle;
Oamaru; Sun 12 Sep 2021; Fine with high cloud. Fresh northerlies, becoming strong for a time.; PartCloudy; PartCloudy;Wind;Wind;Wind;
Oamaru; Mon 13 Sep 2021; Rain, clearing later, but remaining mostly cloudy. Fresh southerlies, easing to northwesterly breezes for a time.; Rain; Rain;Rain;Rain;Cloudy;
Oamaru; Tue 14 Sep 2021; Fine, becoming mostly cloudy for a time. Fresh southerlies, easing to northwesterlies later.; PartCloudy; Wind;Cloudy;Fine;Fine;
Oamaru; Wed 15 Sep 2021; Fine, becoming mostly cloudy. Northerly breezes, rising to fresh southwesterlies later.; Fine; Fine;Fine;Fine;Cloudy;
Oamaru; Thu 16 Sep 2021; Fine, becoming mostly cloudy for a time. Westerlies, rising to fresh southerlies for a time.; Fine; Fine;Cloudy;Fine;Fine;


Dunedin; Tue 07 Sep 2021; Fine with a few clouds, then rain for a time in the afternoon and evening. Westerlies developing in the afternoon.; Showers; PartCloudy;Fine;Rain;PartCloudy;
Dunedin; Wed 08 Sep 2021; Partly cloudy, becoming fine in the morning. Strong westerlies, easing to a light breeze in the evening.; FewShowers; PartCloudy;Wind;Wind;Fine;
Dunedin; Thu 09 Sep 2021; Partly cloudy, with isolated showers developing in the evening. Fresh northwesterlies, becoming gale in the evening.; PartCloudy; Cloudy;PartCloudy;PartCloudy;Wind;
Dunedin; Fri 10 Sep 2021; Rain, easing to isolated showers and fine breaks in the morning. Westerlies, becoming fresh in the evening.; FewShowers; Rain;Fine;FewShowers;Fine;
Dunedin; Sat 11 Sep 2021; A few showers, clearing to fine with high cloud in the afternoon. Fresh southwesterlies, easing to westerly breezes in the afternoon.; FewShowers; FewShowers;Fine;FewShowers;PartCloudy;
Dunedin; Sun 12 Sep 2021; Partly cloudy with isolated showers, clearing for a time. Fresh northerlies, easing to westerlies later.; PartCloudy; Cloudy;FewShowers;FewShowers;Showers;
Dunedin; Mon 13 Sep 2021; Rain, clearing to fine for a time. Westerly breezes, rising to fresh southwesterlies later.; Showers; Rain;Drizzle;Fine;Rain;
Dunedin; Tue 14 Sep 2021; Cloudy with scattered rain, clearing to fine later. Southwesterlies, turning northerly later.; Showers; Rain;Drizzle;Cloudy;Fine;
Dunedin; Wed 15 Sep 2021; Fine, apart from isolated showers developing later. Northwesterly breezes, rising to fresh westerlies later.; Fine; Fine;Fine;Fine;PartCloudy;
Dunedin; Thu 16 Sep 2021; Fine with a few clouds, then becoming cloudy with patchy drizzle for a time. Southwesterlies, easing to light winds later.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


Alexandra; Tue 07 Sep 2021; Rain, easing to a few showers in the morning. Northerly breezes developing in the evening.; Showers; Rain;Cloudy;Showers;Cloudy;
Alexandra; Wed 08 Sep 2021; Mainly fine with isolated showers, clearing in the morning. Westerly breezes developing in the morning.; Fine; Cloudy;Fine;Fine;Fine;
Alexandra; Thu 09 Sep 2021; Cloudy at first, then showers developing in the morning. Northerly breezes, rising to fresh northwesterlies for a time in the afternoon and evening.; Showers; Cloudy;Cloudy;FewShowers;Rain;
Alexandra; Fri 10 Sep 2021; Rain at first, clearing to fine with a few clouds in the morning. Northwesterlies, becoming light in the afternoon.; FewShowers; Rain;Fine;Cloudy;Fine;
Alexandra; Sat 11 Sep 2021; Fine with a few clouds. Light winds.; PartCloudy; Cloudy;Cloudy;PartCloudy;PartCloudy;
Alexandra; Sun 12 Sep 2021; A few showers, becoming rain later. Northerlies developing for a time.; Showers; FewShowers;Showers;FewShowers;Rain;
Alexandra; Mon 13 Sep 2021; Rain, clearing to fine for a time. Southerly breezes developing later.; Rain; Rain;Rain;Fine;Drizzle;
Alexandra; Tue 14 Sep 2021; Partly cloudy, becoming fine later. Light winds.; Cloudy; Cloudy;Fine;Fine;Fine;
Alexandra; Wed 15 Sep 2021; Fine, becoming mostly cloudy. Northerly breezes developing for a time.; Cloudy; Fine;Fine;Cloudy;Cloudy;
Alexandra; Thu 16 Sep 2021; Mostly cloudy, with fine spells and isolated showers developing later. Southeasterlies developing for a time.; Cloudy; Cloudy;Cloudy;Cloudy;Fine;


Gore; Tue 07 Sep 2021; Cloudy with patchy drizzle, becoming rain for a time in the afternoon and evening. Southwesterly breezes developing in the morning.; Showers; Showers;Cloudy;Rain;Drizzle;
Gore; Wed 08 Sep 2021; Cloudy with scattered rain, turning to drizzle in the afternoon. Strong westerlies, becoming fresh in the afternoon.; Showers; Wind;WindRain;WindRain;Drizzle;
Gore; Thu 09 Sep 2021; Rain, becoming drizzle for a time in the afternoon and evening. Fresh northwesterlies, becoming strong for a time in the afternoon and evening.; Rain; Rain;Rain;Wind;Rain;
Gore; Fri 10 Sep 2021; A few showers, becoming rain for a time in the afternoon and evening. Westerlies, becoming fresh for a time in the afternoon and evening.; Showers; Drizzle;PartCloudy;Rain;Cloudy;
Gore; Sat 11 Sep 2021; A few showers, clearing to fine with high cloud in the afternoon. Westerlies, easing to light winds in the afternoon.; FewShowers; Cloudy;FewShowers;FewShowers;PartCloudy;
Gore; Sun 12 Sep 2021; A few showers, becoming rain. Fresh northerlies, easing to southwesterly breezes later.; Showers; Cloudy;Showers;Rain;Rain;
Gore; Mon 13 Sep 2021; Rain, becoming drizzle for a time. Westerly breezes, rising to fresh southwesterlies for a time.; Showers; Rain;FewShowers;Drizzle;Rain;
Gore; Tue 14 Sep 2021; Cloudy with patchy drizzle, clearing to fine later. Southwesterlies, easing to light winds.; Cloudy; Cloudy;Cloudy;Cloudy;Fine;
Gore; Wed 15 Sep 2021; Fine with a few clouds, then rain developing later. Westerlies.; FewShowers; Fine;Fine;Cloudy;FewShowers;
Gore; Thu 16 Sep 2021; Drizzle, clearing for a time, but remaining mostly cloudy. Southwesterlies, easing to light winds.; Cloudy; Drizzle;Cloudy;Cloudy;Cloudy;


Invercargill; Tue 07 Sep 2021; Rain, easing in the morning. Fresh westerlies developing in the evening.; Showers; Rain;Cloudy;Showers;WindRain;
Invercargill; Wed 08 Sep 2021; Showers, becoming drizzle for a time in the afternoon and evening. Strong westerlies, rising to gale northwesterlies in the evening.; Wind; Wind;Wind;Wind;WindRain;
Invercargill; Thu 09 Sep 2021; Rain, easing to patchy drizzle for a time in the afternoon and evening. Fresh northwesterlies, becoming strong in the morning.; Wind; Rain;WindRain;Wind;WindRain;
Invercargill; Fri 10 Sep 2021; Drizzle, turning to rain for a time in the afternoon and evening. Fresh westerlies, easing in the evening.; Showers; Wind;Drizzle;Rain;Drizzle;
Invercargill; Sat 11 Sep 2021; Fine with a few clouds, becoming cloudy in the afternoon. Fresh westerlies, easing to northerly breezes in the afternoon.; Cloudy; Fine;Fine;Cloudy;Cloudy;
Invercargill; Sun 12 Sep 2021; A few showers, becoming rain. Strong northerlies, easing to southwesterly breezes.; Showers; Cloudy;Wind;Rain;WindRain;
Invercargill; Mon 13 Sep 2021; A few showers, becoming rain for a time. Fresh westerlies, easing to southerlies.; Showers; Drizzle;Fine;Rain;FewShowers;
Invercargill; Tue 14 Sep 2021; Fine, becoming mostly cloudy for a time. Fresh southwesterlies, easing to westerly breezes.; PartCloudy; Fine;Fine;Cloudy;Fine;
Invercargill; Wed 15 Sep 2021; Mostly cloudy, then rain developing. Westerlies, becoming strong for a time.; Showers; Fine;Wind;WindRain;Drizzle;
Invercargill; Thu 16 Sep 2021; Mainly fine with isolated showers, clearing for a time, but becoming mostly cloudy. Southwesterlies, easing to light winds.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


Mount Cook Village; Tue 07 Sep 2021; Rain with heavy falls, easing in the morning. Northerly breezes.; Rain; Rain;Rain;Rain;Rain;
Mount Cook Village; Wed 08 Sep 2021; Partly cloudy with isolated showers, clearing in the morning. Light winds.; PartCloudy; Showers;Cloudy;Fine;Fine;
Mount Cook Village; Thu 09 Sep 2021; Cloudy with scattered rain, becoming widespread in the morning. Northwesterlies.; Rain; Showers;Rain;Rain;Rain;
Mount Cook Village; Fri 10 Sep 2021; Rain with heavy falls, easing to isolated showers in the afternoon. Northerlies, easing to light winds in the morning.; Showers; Rain;Rain;Rain;Fine;
Mount Cook Village; Sat 11 Sep 2021; Fine, becoming mostly cloudy in the afternoon. Light winds.; Fine; Fine;Fine;PartCloudy;Cloudy;
Mount Cook Village; Sun 12 Sep 2021; Cloudy with scattered rain, becoming widespread with some heavy falls. Northerly breezes.; Rain; Cloudy;Rain;Rain;Rain;
Mount Cook Village; Mon 13 Sep 2021; Rain with heavy falls, easing to a few showers. Light winds.; Rain; Rain;Rain;FewShowers;Cloudy;
Mount Cook Village; Tue 14 Sep 2021; Drizzle, clearing and becoming fine for a time. Light winds.; FewShowers; Drizzle;Fine;Fine;Fine;
Mount Cook Village; Wed 15 Sep 2021; Fine, becoming mostly cloudy for a time. Light winds.; Cloudy; Fine;Cloudy;Cloudy;Fine;
Mount Cook Village; Thu 16 Sep 2021; Partly cloudy, becoming fine for a time. Light winds.; Fine; Fine;Cloudy;Fine;Fine;


Wanaka; Tue 07 Sep 2021; Rain, easing to a few showers in the afternoon. Westerly breezes developing for a time in the afternoon and evening.; Rain; Rain;Rain;Showers;Drizzle;
Wanaka; Wed 08 Sep 2021; Partly cloudy, becoming fine in the morning. Westerly breezes.; Fine; PartCloudy;Fine;Fine;Fine;
Wanaka; Thu 09 Sep 2021; A few showers, becoming rain in the evening. Northwesterly breezes developing in the morning.; Showers; Cloudy;FewShowers;FewShowers;Rain;
Wanaka; Fri 10 Sep 2021; Showers, clearing to fine in the afternoon. Westerly breezes developing in the morning.; Showers; Rain;Drizzle;Drizzle;Fine;
Wanaka; Sat 11 Sep 2021; Fine with a few clouds. Light winds.; Fine; Cloudy;Fine;PartCloudy;PartCloudy;
Wanaka; Sun 12 Sep 2021; Showers, with some heavy. Westerly breezes developing later.; Showers; Cloudy;Rain;Showers;Rain;
Wanaka; Mon 13 Sep 2021; Rain, easing to isolated showers and fine breaks. Southerly breezes developing later.; Showers; Rain;Rain;Fine;Cloudy;
Wanaka; Tue 14 Sep 2021; Partly cloudy, becoming fine. Light winds.; Fine; PartCloudy;Cloudy;Fine;Fine;
Wanaka; Wed 15 Sep 2021; Fine with a few clouds, becoming cloudy later. Northwesterly breezes developing for a time.; PartCloudy; Fine;Fine;PartCloudy;Cloudy;
Wanaka; Thu 16 Sep 2021; Fine, becoming mostly cloudy for a time. Light winds.; Cloudy; Fine;Cloudy;PartCloudy;Fine;


Queenstown; Tue 07 Sep 2021; Cloudy with scattered rain, becoming widespread in the evening. Westerly breezes developing for a time in the afternoon and evening.; Showers; Rain;Drizzle;Rain;Rain;
Queenstown; Wed 08 Sep 2021; A few showers at first, clearing in the morning, but remaining partly cloudy. Westerly breezes.; FewShowers; Showers;Fine;Fine;Cloudy;
Queenstown; Thu 09 Sep 2021; Rain, with heavy falls in the evening. Westerly breezes developing for a time in the afternoon and evening.; Rain; Rain;Rain;Rain;Rain;
Queenstown; Fri 10 Sep 2021; Rain, easing to a few showers in the morning. Westerly breezes developing in the morning.; Showers; Rain;FewShowers;Rain;PartCloudy;
Queenstown; Sat 11 Sep 2021; Partly cloudy. Westerly breezes developing for a time in the afternoon and evening.; Cloudy; Cloudy;Fine;PartCloudy;PartCloudy;
Queenstown; Sun 12 Sep 2021; Showers, with some heavy. Light winds.; Showers; Drizzle;Rain;Showers;Rain;
Queenstown; Mon 13 Sep 2021; Rain, easing to a few showers. Westerly breezes developing for a time.; Showers; Rain;Rain;FewShowers;Cloudy;
Queenstown; Tue 14 Sep 2021; Mostly cloudy, becoming fine. Light winds.; Cloudy; Cloudy;Cloudy;Fine;Fine;
Queenstown; Wed 15 Sep 2021; Mostly cloudy. Light winds.; Cloudy; Cloudy;Cloudy;Cloudy;Cloudy;
Queenstown; Thu 16 Sep 2021; Fine, becoming partly cloudy for a time. Light winds.; Fine; Fine;Cloudy;Fine;Fine;


Milford Sound; Tue 07 Sep 2021; Rain with heavy falls, easing in the morning. Northerly breezes.; Rain; Rain;Rain;Rain;Rain;
Milford Sound; Wed 08 Sep 2021; Fine with a few clouds, then showers developing in the evening. Westerly breezes developing for a time in the afternoon and evening.; Showers; Cloudy;Fine;Fine;Rain;
Milford Sound; Thu 09 Sep 2021; Rain with heavy falls. Northwesterlies.; Rain; Rain;Rain;Rain;Rain;
Milford Sound; Fri 10 Sep 2021; Rain, clearing to fine with a few clouds in the evening. Westerlies, easing to light winds in the morning.; Rain; Rain;Rain;Rain;Fine;
Milford Sound; Sat 11 Sep 2021; Fine with a few clouds, then becoming cloudy with patchy drizzle developing in the evening. Easterlies, easing to light winds in the morning.; PartCloudy; Fine;Fine;PartCloudy;Cloudy;
Milford Sound; Sun 12 Sep 2021; Showers, turning to rain with heavy falls for a time. Northerly breezes, rising to fresh northwesterlies.; Rain; Rain;Rain;Rain;Rain;
Milford Sound; Mon 13 Sep 2021; Showers, some heavy, becoming drizzle. Southerly breezes developing later.; Showers; Rain;Showers;Drizzle;Fine;
Milford Sound; Tue 14 Sep 2021; Fine. Southeasterlies, easing to light winds.; Fine; Fine;Fine;Fine;Fine;
Milford Sound; Wed 15 Sep 2021; Cloudy with patchy drizzle, becoming rain. Light winds.; Showers; Cloudy;Drizzle;Rain;Rain;
Milford Sound; Thu 16 Sep 2021; Partly cloudy, becoming fine for a time. Easterly breezes.; Fine; Fine;Fine;Fine;Fine;
Finished at 20:05 Mon 06-Sep-2021 in 5 minutes.

